number,value,datetime_start,datetime_complete,duration,params_conf,params_match_thresh,params_min-box-area,params_nms,params_track_buffer,params_track_thresh,state
57,0.5143981398676445,2025-01-27 15:04:01.315478,2025-01-27 15:06:23.554960,0 days 00:02:22.239482,0.15808313005929778,0.1562139023353016,100,0.10273831806209106,60,0.4604293171530311,COMPLETE
58,0.5143981398676445,2025-01-27 15:06:23.555676,2025-01-27 15:08:46.403370,0 days 00:02:22.847694,0.2500961630500139,0.275076250704517,100,0.31862335739695563,120,0.19297468196317008,COMPLETE
59,0.5143981398676445,2025-01-27 15:08:46.404101,2025-01-27 15:11:07.706202,0 days 00:02:21.302101,0.5123184942926592,0.4174095470562596,10,0.38323208451628,30,0.2574898054250346,COMPLETE
60,0.5143981398676445,2025-01-27 15:11:07.706930,2025-01-27 15:13:31.137124,0 days 00:02:23.430194,0.6669937092443208,0.1254605851424665,100,0.7625681049996144,600,0.4964773289653347,COMPLETE
61,0.5143981398676445,2025-01-27 15:13:31.137864,2025-01-27 15:15:51.583522,0 days 00:02:20.445658,0.6329330980252872,0.6019116343475414,10,0.6211427664755202,120,0.7087561836974987,COMPLETE
62,0.5143981398676445,2025-01-27 15:15:51.584247,2025-01-27 15:18:12.481586,0 days 00:02:20.897339,0.41279692951086794,0.5004604348332535,10,0.7954359690550797,120,0.6250783069607937,COMPLETE
63,0.5143981398676445,2025-01-27 15:18:12.482316,2025-01-27 15:20:33.687492,0 days 00:02:21.205176,0.21525477637789778,0.18894931650339342,10,0.674599111873377,120,0.7837507396891076,COMPLETE
64,0.5143981398676445,2025-01-27 15:20:33.688215,2025-01-27 15:22:54.237012,0 days 00:02:20.548797,0.5819640473581088,0.7995891791855108,10,0.8647209176657294,120,0.5829258750031965,COMPLETE
65,0.5143981398676445,2025-01-27 15:22:54.237740,2025-01-27 15:25:14.726424,0 days 00:02:20.488684,0.48288429541857947,0.6877629167168705,10,0.5734616474559316,300,0.6931533558286308,COMPLETE
66,0.5143981398676445,2025-01-27 15:25:14.727150,2025-01-27 15:27:34.888859,0 days 00:02:20.161709,0.29668757368125204,0.6531152819787167,100,0.21076628720219343,30,0.6459450128431492,COMPLETE
67,0.5143981398676445,2025-01-27 15:27:34.889575,2025-01-27 15:29:54.012826,0 days 00:02:19.123251,0.5292853236217788,0.8536022015330343,150,0.1270166141452967,120,0.8125190586326041,COMPLETE
68,0.5143981398676445,2025-01-27 15:29:54.013567,2025-01-27 15:32:14.938215,0 days 00:02:20.924648,0.10123462295561085,0.5423114022636385,10,0.7406530841885448,600,0.5611716666643176,COMPLETE
69,0.5143981398676445,2025-01-27 15:32:14.938944,2025-01-27 15:34:35.092756,0 days 00:02:20.153812,0.6491456859414441,0.7348710826734846,100,0.1686077630211711,300,0.3929970739518205,COMPLETE
70,0.5143981398676445,2025-01-27 15:34:35.093484,2025-01-27 15:36:55.833925,0 days 00:02:20.740441,0.6849456717043261,0.22967356259988783,10,0.1850135453334796,120,0.7586838554306508,COMPLETE
71,0.5143981398676445,2025-01-27 15:36:55.834612,2025-01-27 15:39:15.377266,0 days 00:02:19.542654,0.8711843544746225,0.4623892067371613,150,0.8325714928353621,600,0.5279753837699406,COMPLETE
72,0.5143981398676445,2025-01-27 15:39:15.378002,2025-01-27 15:41:34.539993,0 days 00:02:19.161991,0.8945788998300865,0.395938410364792,150,0.8984879763836151,600,0.4234847804000579,COMPLETE
73,0.5143981398676445,2025-01-27 15:41:34.540714,2025-01-27 15:43:56.607322,0 days 00:02:22.066608,0.6048847549744321,0.3547307062079622,150,0.8230310686115241,600,0.5152383399091992,COMPLETE
74,0.5143981398676445,2025-01-27 15:43:56.608050,2025-01-27 15:46:17.024627,0 days 00:02:20.416577,0.7756525566916327,0.4277340225653566,150,0.49781642229648526,30,0.4500224587941595,COMPLETE
75,0.5143981398676445,2025-01-27 15:46:17.025384,2025-01-27 15:48:37.603927,0 days 00:02:20.578543,0.8241953847869105,0.31293794242787487,100,0.8727473152364303,60,0.3695732267754458,COMPLETE
76,0.5143981398676445,2025-01-27 15:48:37.604695,2025-01-27 15:50:57.859191,0 days 00:02:20.254496,0.7244017147868206,0.5706776239262064,150,0.6602089411327267,600,0.3364743763307578,COMPLETE
77,0.5143981398676445,2025-01-27 15:50:57.859940,2025-01-27 15:53:18.328472,0 days 00:02:20.468532,0.47252863613810725,0.4911857247362452,100,0.2534374740312967,120,0.4822455170056908,COMPLETE
78,0.5143981398676445,2025-01-27 15:53:18.329211,2025-01-27 15:55:40.081368,0 days 00:02:21.752157,0.7639279873459354,0.26679026107030707,10,0.804138365998274,300,0.11408634936717715,COMPLETE
79,0.5143981398676445,2025-01-27 15:55:40.082104,2025-01-27 15:58:00.067810,0 days 00:02:19.985706,0.8505719470615095,0.44499313371360183,10,0.7197544276160157,600,0.6034674105346737,COMPLETE
80,0.5143981398676445,2025-01-27 15:58:00.068568,2025-01-27 16:00:19.658963,0 days 00:02:19.590395,0.8247544949239838,0.6339649468515529,100,0.19987348560015203,30,0.2797015521285565,COMPLETE
81,0.5143981398676445,2025-01-27 16:00:19.659709,2025-01-27 16:02:40.384062,0 days 00:02:20.724353,0.5346398564589537,0.6080445491169331,10,0.29746234289603096,600,0.15957435379793822,COMPLETE
82,0.5143981398676445,2025-01-27 16:02:40.384822,2025-01-27 16:05:00.612539,0 days 00:02:20.227717,0.7001460764707521,0.5429724654917525,10,0.23375427995631282,600,0.13530724146162093,COMPLETE
83,0.5143981398676445,2025-01-27 16:05:00.613245,2025-01-27 16:07:21.428969,0 days 00:02:20.815724,0.5732429332428892,0.5917516620302739,10,0.2702103684916151,600,0.19075009233363527,COMPLETE
84,0.5143981398676445,2025-01-27 16:07:21.429715,2025-01-27 16:09:42.077046,0 days 00:02:20.647331,0.646546235116932,0.5184912369490084,10,0.3605511967373638,120,0.31764028755065377,COMPLETE
85,0.5143981398676445,2025-01-27 16:09:42.077742,2025-01-27 16:12:04.877699,0 days 00:02:22.799957,0.6134931081007506,0.19602696623618626,10,0.16199181006453256,600,0.2352186890549125,COMPLETE
86,0.5143981398676445,2025-01-27 16:12:04.878450,2025-01-27 16:14:25.436953,0 days 00:02:20.558503,0.556475118759105,0.6953950883677494,100,0.8520127494075668,600,0.6565892786852299,COMPLETE
87,0.5143981398676445,2025-01-27 16:14:25.437680,2025-01-27 16:16:46.116725,0 days 00:02:20.679045,0.5885355517525358,0.658941200869078,10,0.3128272156631168,120,0.4056625777652624,COMPLETE
88,0.5143981398676445,2025-01-27 16:16:46.117485,2025-01-27 16:19:04.595560,0 days 00:02:18.478075,0.15877303718373062,0.24688045890747587,100,0.7618237678742574,300,0.8469495770014642,COMPLETE
89,0.5143981398676445,2025-01-27 16:19:04.596297,2025-01-27 16:21:25.066284,0 days 00:02:20.469987,0.5150449076607335,0.6335266702567838,150,0.21759605353711203,30,0.11118231813452503,COMPLETE
90,0.5143981398676445,2025-01-27 16:21:25.067043,2025-01-27 16:23:44.872383,0 days 00:02:19.805340,0.8715199943317465,0.3572275274870085,10,0.24439737252096633,60,0.17425386701848475,COMPLETE
91,0.5143981398676445,2025-01-27 16:23:44.873087,2025-01-27 16:26:06.102012,0 days 00:02:21.228925,0.19846074092239996,0.734609558940827,150,0.5379520014186777,120,0.23089740151690585,COMPLETE
92,0.5143981398676445,2025-01-27 16:26:06.102710,2025-01-27 16:28:27.134010,0 days 00:02:21.031300,0.178819680708025,0.7697352952214066,150,0.5873158533457246,120,0.36147419959687316,COMPLETE
93,0.5143981398676445,2025-01-27 16:28:27.134747,2025-01-27 16:30:48.042891,0 days 00:02:20.908144,0.1386037970017086,0.7091270915161796,150,0.5028949671699835,120,0.2833104401967437,COMPLETE
94,0.5143981398676445,2025-01-27 16:30:48.043597,2025-01-27 16:33:08.915017,0 days 00:02:20.871420,0.23550783503223877,0.8343116450813044,150,0.6205002643751469,120,0.13850165549392307,COMPLETE
95,0.5143981398676445,2025-01-27 16:33:08.915728,2025-01-27 16:35:29.201508,0 days 00:02:20.285780,0.34236363184534924,0.6676508610309103,100,0.4392496087963437,600,0.7096958570988396,COMPLETE
96,0.5143981398676445,2025-01-27 16:35:29.202217,2025-01-27 16:37:50.143488,0 days 00:02:20.941271,0.26430337889573124,0.5853358006386838,10,0.6491240305791633,120,0.2995718629203383,COMPLETE
97,0.5143981398676445,2025-01-27 16:37:50.144181,2025-01-27 16:40:10.588784,0 days 00:02:20.444603,0.28575738332345707,0.7853126166542453,100,0.12909400106014515,300,0.21384615018662928,COMPLETE
98,0.5143981398676445,2025-01-27 16:40:10.589484,2025-01-27 16:42:31.167873,0 days 00:02:20.578389,0.4206901191317667,0.8779818937965782,10,0.2849561329497643,600,0.346598398826981,COMPLETE
99,0.5143981398676445,2025-01-27 16:42:31.168609,2025-01-27 16:44:52.771039,0 days 00:02:21.602430,0.5446357953860974,0.28226910567880015,150,0.19864460047558924,120,0.390452269633892,COMPLETE
100,0.5143981398676445,2025-01-27 16:44:52.771770,2025-01-27 16:47:12.657609,0 days 00:02:19.885839,0.8018103214927959,0.6308146427105504,10,0.17151868545548138,30,0.26796421011393534,COMPLETE
101,0.5143981398676445,2025-01-27 16:47:12.658363,2025-01-27 16:49:30.680490,0 days 00:02:18.022127,0.3840698705092715,0.7576026109078524,100,0.3469425430205346,300,0.8758810378526155,COMPLETE
102,0.5143981398676445,2025-01-27 16:49:30.681220,2025-01-27 16:51:50.791890,0 days 00:02:20.110670,0.32525509643759043,0.8979649944254874,100,0.4044223555988922,300,0.7672940038802537,COMPLETE
103,0.5143981398676445,2025-01-27 16:51:50.792600,2025-01-27 16:54:10.001618,0 days 00:02:19.209018,0.1747719536614477,0.8249430024473502,100,0.2653766623201515,300,0.8248809749517287,COMPLETE
104,0.5143981398676445,2025-01-27 16:54:10.002359,2025-01-27 16:56:29.832665,0 days 00:02:19.830306,0.21316953426274193,0.8757112994370001,100,0.22601448819795575,300,0.7413575775493438,COMPLETE
